cluster_std,method,mean_inertia,std_inertia,min_inertia,max_inertia,mean_iterations,std_iterations
0.5,K-Means++,393.80895319253943,564.6984442204583,290.7095944966668,3383.6903553728453,2.1666666666666665,0.9128709291752769
0.5,Random,2009.2217843144676,3344.081652265225,290.7095944966668,17832.943073760875,5.966666666666667,3.624469838361937
1.5,K-Means++,3484.62564315269,1290.080297684914,2587.7891597408243,5325.70781696373,6.033333333333333,4.0384644857047896
1.5,Random,4051.583899118478,3204.604981958521,2587.7891597408243,19610.709605571054,7.966666666666667,4.498914300701612
2.5,K-Means++,7129.699648476055,875.8164717979314,6700.279919899409,9206.106864564616,11.1,4.357712148870528
2.5,Random,7046.113690019655,785.8538024597425,6700.279919899409,8773.800822774285,12.133333333333333,4.183162747815658
